year,revenue,pat,cfo,debt,equity,ebit,interest,roce
2021,,,,,,,,
2022,,,,,,,,
2023,,,,,,,,
2024,,,,,,,,
2025,,,,,,,,
2025,81612.78,20036.47,17627.04,91.26,70030.05,26972.00,45.06,38.46
2026,89913.33,21018.15,18464.31,2186.22,72507.30,28118.56,85.17,38.84
